name,isin,symbol,url,keyword
ABRDN III ICAV FUTURE SUPPLY CHAINS UCITS ETF USD ACC U,-,,ASCH,
AMUNDI ETF ICAV AMUNDI S&P WORLD FINANCIALS SCREENED ETF,-,,GLFI,
AMUNDI INDEX SOLUTIONS AMND CORE EURO STOXX 50 UCIT ETF EUR ACC,-,,MSED,
AMUNDI INDEX SOLUTIONS AMUNDI CORE EUR CORPORATE BOND ETF USD,-,,CBDU,
AMUNDI INDEX SOLUTIONS AMUNDI NASDAQ-100 SWAP UCITS ETF USD ACC,-,,ANXU,
AMUNDI INDEX SOLUTIONS JPX NIKKEI 400 UCITS ETF DLY USD HGD ACC,-,,JPHU,
AMUNDI INDEX SOLUTIONS S&P 500 BUYBACK UCITS ETF USD ACC,-,,BYBU,
ARK INVEST UCITS ICAV GENOMIC REVOLUTION UCITS ETF USD(GBP) AC,-,,ARCG,
BNP PARIBAS EASY ICAV ALPHA ENHNCD WRLD UCITS ETF,-,,QGGB,
BNP PARIBAS EASY SICAV JPM ESG EMBI GL DIVERS COMP UCITS ETF H,-,,EMBG,
DIMENSIONAL FUNDS ICAV GLOBAL CORE EQUITY UCITS ETF,-,,DPGC,
FIDELITY UCITS II ICAV ESG USD EM BOND UCITS ETF USD DIS(GBP),-,,FSED,
FIRST TRUST GLOBAL FUNDS ICAV FACTORFX UCITS ETF A USD,-,,FTFX,
FIRST TRUST GLOBAL FUNDS ICAV FT SMID RISING DIV ACHV UCT ETF B USDDIS,-,,SDVI,
FIRST TRUST GLOBAL FUNDS ICAV US MOMENTUM UCITS ETF A USD,-,,FTMO,
FRANKLIN TEMPLETON ICAV FRK FTSE INDIA UCITS ETF (GBP),-,,FRIN,
FRANKLIN TEMPLETON ICAV FTSE JAPAN UCITS ETF (JPY),-,,FLXJ,
FRANKLIN TEMPLETON ICAV SUSTAINABLE EURO GREEN BOND UCITS ETF EU,-,,FVUG,
GLOBAL X ETFS ICAV DISRUPTIVE MATERIALS UCITS ETF USD (GBP),-,,DMAD,
GLOBAL X ETFS ICAV GLOBAL X ETFS ICAV CYBERSECURITY UCI GBP,-,,BUGG,
GLOBAL X ETFS ICAV NASDAQ 100 COVERED CALL UCITS ETF USD(GB,-,,QYLP,
GLOBAL X ETFS ICAV URANIUM UCITS ETF GBP ACC,-,,URNG,
GOLDMAN SACHS ETF ICAV ALPHA ENHANCED EMERGING MARKETS EQUITY A,-,,GQME,
HANETF ICAV EMQQ EMG MARKETS INTERNET UCITS ETF ACC,-,,EMQP,
HANETF ICAV KOTAK INDO-PACIFIC DEFENCE ETF USD,-,,QUAD,
HANETF ICAV US GBL INVESTORS TRAVEL UCITS ETF USD,-,,TRIP,
HSBC ETFS PLC FTSE EPRA DEV ISLAMIC ETF USD (ACC),-,,HINS,
HSBC ETFS PLC HSBC DEV WLD SCREENED EQ ETF USD DIST,-,,HSDD,
HSBC ETFS PLC HSBC MSCI EUROPE ISLAMIC SCR ETF EUR ACC,-,,HIPS,
HSBC ETFS PLC HSBC USA SCR EQ UCITS ETF USD (DIST),-,,HSSU,
HSBC ETFS PLC MSCI EMERGING MARKETS UCITS ETF,-,,HMEF,
HSBC ETFS PLC MSCI TAIWAN CAPPED UCITS ET,-,,HTWD,
HSBC ETFS PLC NASDAQ GLOBAL SEMICONDUCTOR UCITS ETF(GB,-,,HNSS,
HSBC GLOBAL FUNDS ICAV GLOBAL SUKUK IDX UCITS ETFC USD ACC,-,,HBKU,
INVESCO MARKETS II PLC EUR AAA CLO UCITS ETF EUR DIS,-,,CLOD,
INVESCO MARKETS II PLC INVESCO CYBERSECURITY UCITS ETF USD(GBP),-,,CBRX,
INVESCO MARKETS II PLC IVZ GBL HY CORP BD ESG CLIM ETF GB PFH D,-,,GBHG,
INVESCO MARKETS II PLC MSCI USA CPA ESG UCITS ETF ACC,-,,PAUX,
INVESCO MARKETS II PLC S&P 500 LOW VOLATILITY UCITS ETF GBP ACC,-,,SPLG,
INVESCO MARKETS II PLC US TREASURY BD 1-3Y UCITS ETF USD(GBP) A,-,,TR3X,
INVESCO MARKETS II PLC US TREASURY BOND 0-1Y UT ETF GBP HGD DIS,-,,TIGB,
INVESCO MARKETS III PLC INVESCO S&P 500 HI DIV LW VOL UCITS ETF,-,,HDLV,
INVESCO MARKETS PLC INVESCO MSCI EMG MKTS UCIT ETF A USD,-,,MXFS,
INVESCO MARKETS PLC NASDAQ-100 SWAP UCITS ETF USD DIS,-,,EQQD,
ISHARES (DE) I INVESTMENT ISHARES STOXX EURO 600 RETAIL UCITS ETF,-,,0W0W,
ISHARES EURO HY CORP BD UCITS ETF EUR DIS,-,,IHYG,
ISHARES II PLC EUR GOVT BOND 3-5YR UCITS ETF GBP DIST,-,,IBGX,
ISHARES II PLC JP MORGAN USD EM BOND UCITS ETF USD ACC,-,,JPEA,
ISHARES II PLC UK PROPERTY UCITS ETF GBP DIST,-,,IUKP,
ISHARES II PLC USD HIGH YLD CORP BD UCITS ETF USD DIST,-,,IHYU,
ISHARES III PLC BROAD USD HIGH YIELD CORP BD UCITS ETF U,-,,HYUS,
ISHARES III PLC EMR ASIA LCAL GOVT BD UCITS ETF GBP DIST,-,,SGEA,
ISHARES III PLC GLOBAL GOVT BOND UCITS ETF USD DIST GBP,-,,SGLO,
ISHARES III PLC ISHS WLD EQ ENH ACT UCT ETF GBP HGD ACC,-,,WOGH,
ISHARES III PLC MSCI SOUTH AFRICA UCITS ETF USD ACC GBP,-,,SRSA,
ISHARES ISHARES CORE MSCI EMG MKTS IMI UCITS ETF,-,,EIMU,
ISHARES IV PLC EDGE MSCI USA VALUE FCTR UC ETF USD DIS,-,,IUVD,
ISHARES IV PLC ISH INCL AND DIV UCITS ETF,-,,OPEN,
ISHARES IV PLC MSCI EM SRI UCITS ETF USD ACC,-,,SUSM,
ISHARES IV PLC SMART CITY INFRASTRUCT UCITS ETF USD (GB,-,,CT2B,
ISHARES IV PLC USD ULTRASHORT BOND UCITS ETF USD DIST,-,,ERND,
ISHARES MSCI WORLD UCITS ETF USD DIST USD,-,,IDWR,
ISHARES USD CORP BOND UCITS ETF USD DIST,-,,LQDS,
ISHARES V PLC IBONDS DEC 2026 TERM CORP UCITS ETF GBP,-,,D26G,
ISHARES V PLC MSCI ACWI UCITS ETF USD ACC,-,,ISAC,
ISHARES V PLC S&P 500 INFO TECH SECT UCITS ETF USD ACC,-,,IUIT,
ISHARES VI PLC EDGE MSCI EM MIN VOL UCITS ETF USD ACC,-,,EMMV,
ISHARES VI PLC ISHARES MSCI USA SWAP UCT ETF GBP HGDDIS,-,,MUSG,
ISHARES VII PLC CORE MSCI PAC EX-JPN UCITS ETF USD ACC,-,,CPJ1,
ISHARES VII PLC ISHARES MSCI EM ASIA UCITS ETF USD (ACC),-,,CEMA,
ISHARES VII PLC MSCI JAPAN UCITS ETF(ACC),-,,CSJP,
ISHARES VII PLC USD TSY BD 1-3YR UCITS ETF USD (ACC),-,,CU31,
JANUS HENDERSON TABULA FUND JH EUR AAA CLO ACTIVE ETF GBPHD,-,,JCLS,
JPMORGAN ETFS (IRELAND) ICAV BETABUILDERS US EQUITY UCITS ETF USD DIS,-,,BBDD,
JPMORGAN ETFS (IRELAND) ICAV EUR AGGREGATE BOND ACTIVE UCITS ETF EUR,-,,JEAA,
JPMORGAN ETFS (IRELAND) ICAV GLOBAL EM RESEARCH ENHANCED INDEX EQUITY,-,,JSMD,
JPMORGAN ETFS (IRELAND) ICAV JPM CHINA A RES ENH IDX EQ ACTV UCT ETF,-,,JRCE,
