name,isin,url,keyword
AMUNDI ETF ICAV AMUNDI PRIME ALL COU WLD UCT ETF GBP HGD,-,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=qWf3GfXMryk%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
AMUNDI INDEX SOLUTIONS AMDI GBL BIOENERGY U ETF USD ACC,-,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=IfB%2BT%2FfWuxs%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
AMUNDI INDEX SOLUTIONS AMND CORE STOXX EUROPE 600 UCITS ETF ACC,LU0908500753,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=RcWJ8UlG%2FkA%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
AMUNDI INDEX SOLUTIONS AMUNDI ETF JPN TOPIX UCITS ETF-DAILY HGD,-,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=kpLXkFEOXW0%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
AMUNDI INDEX SOLUTIONS AMUNDI S&P 500 SWAP UCITS ETF USD ACC,-,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=Yw4ArCY2spU%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
AMUNDI INDEX SOLUTIONS MSCI UK IMI SRI CLMTE PRS A U ETF DR GBP,LU1437025296,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=iVEeU3RH7Vs%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
ARK INVEST UCITS ICAV ENVIRONMENTAL IMPACT 100 UCITS ETF (USD),IE00BLRPRR04,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=retsoVOqcGc%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
BNP PARIBAS EASY ICAV ALPHA ENHANCED WORLD UCITS ETF USD CAP,-,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=8nBEB2bmDqk%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
BNP PARIBAS EASY SICAV JPM ESG EMBI GLOB DIVERS COMP UCITS ETF,-,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=IeZDtDSgIZ8%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
FIDELITY UCITS ICAV EMG MKTS QUALITY INC UCITS ETF USD DIS,IE00BYSX4739,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=yvGqdDVZir8%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
FIDELITY UCITS ICAV US QUALITY VALUE UCITS ETF USD GBP ACC,IE000MKIH0W7,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=ei3ssX1jHjc%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
FIRST TRUST GLOBAL FUNDS ICAV DOW JONES INTL INTERNET UCITS ETF A CHF,-,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=hTH9eaZOxGg%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
FIRST TRUST GLOBAL FUNDS ICAV FT VEST SP500 DVD ARST TRG INC UCITS ETF,IE000SNMGYT5,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=FtIlUuR%2Bt48%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
FIRST TRUST GLOBAL FUNDS ICAV US EQUITY INCOME UCITS ETF A USD DIS,-,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=u8gTszVee7E%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
FRANKLIN TEMPLETON ICAV FRANKLIN FTSE DEVELOPED WORLD UCITS ETF,-,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=wCkgbJIss3w%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
FRANKLIN TEMPLETON ICAV FRK MSCI CH PARIS UCITS ETF,IE000EBPC0Z7,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=SYM7nU718Nw%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
FRANKLIN TEMPLETON ICAV FTSE KOREA UCITS ETF (USD),IE00BHZRR030,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=cZs5bKESHXI%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
