name,isin,url
BlackRock GF Euro Corporate Bond D2 Hedged GBP,LU1445719088,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=%2B%2FHI3fpxfug%3D&Isin=LU1445719088&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D17
BlackRock GF Euro Short Duration Bond D4 Hedged GBP,LU0555993434,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=V6L%2B7%2BY4hhE%3D&Isin=LU0555993434&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D17
BlackRock GF European D4 GBP,LU0827879098,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=wuTjlqP4t48%3D&Isin=LU0827879098&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D17
BlackRock GF European Value D2 GBP,LU0827879338,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=pVfuK%2FwnUwo%3D&Isin=LU0827879338&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D17
BlackRock GF European Value D2 Hedged USD,LU1153585531,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=XZZNf5XVsHk%3D&Isin=LU1153585531&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D17
BlackRock GF Fixed Income Global Opportunities D2 Hedged GBP,LU0278463947,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=M8Jj44gcsCM%3D&Isin=LU0278463947&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D17
BlackRock GF Fixed Income Global Opportunities D4 Hedged GBP,LU1294567364,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=ZMEnj4g2EEY%3D&Isin=LU1294567364&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D17
BlackRock GF Future of Transport D2 Hedged GBP,LU1861215629,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=uoaiirmK9xM%3D&Isin=LU1861215629&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D17
BlackRock GF Global High Yield Bond D2 Hedged GBP,LU0372548783,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=ZcN%2BdLw9qk4%3D&Isin=LU0372548783&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D17
BlackRock GF Global High Yield Bond D5 Hedged GBP,LU1072327023,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=JIfXQVMES5g%3D&Isin=LU1072327023&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D17
