name,isin,ticker,url,keyword
3i Infrastructure PLC,JE00BF5FX167,3IN,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=nqEPTr2rLWI%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Achilles Investment Company Ltd,GG00BT3GKD08,AIC,,
Alternative Income REIT PLC,GB00BDVK7088,AIRE,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=3vrRsfLg5%2Bs%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
AVI Japan Opportunity Trust PLC,GB00BD6H5D36,AJOT,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=24fcjFXoprg%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Baronsmead Second Venture Trust PLC,GB0030028103,BMD,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=S%2Brr5ZaJnzY%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
BlackRock Greater Europe Investment Trust PLC,GB00B01RDH75,BRGE,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=mhXs8G0M3oM%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Brown Advisory US Smaller Companies PLC,GB0003463402,BASC,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=1M%2BlvWh1Hpk%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Chenavari Toro Income Fund Ltd,GG00BWBSDM98,TORG,,
CT Private Equity Trust PLC,GB0030738271,CTPE,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=GzqRxYkwqrU%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Diverse Income Trust (The) PLC,GB00B65TLW28,DIVI,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=BeY9YztaeV8%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
F&C Investment Trust PLC,GB0003466074,FCIT,,
Foresight Technology Vct PLC,GB00BKF2JH04,FWT,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=Q%2F8nCQ9LqR4%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Golden Prospect Precious Metals Ltd,GG00B1G9T992,GPM,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=XXnMi%2F0DTHg%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Gresham House Renewable Energy VCT 1 PLC,GB00B4L13999,GV1A,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=RZckPmEzz1o%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Henderson Far East Income Ltd,JE00B1GXH751,HFEL,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=vn8RzctelEA%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
India Capital Growth Fund Ltd,GB00B0P8RJ60,IGC,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=esSX51i2%2FFo%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
JPMorgan Claverhouse Investment Trust PLC,GB0003422184,JCH,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=rMxa9GOSiTY%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
JPMorgan UK Small Cap Growth & Income PLC,GB00BF7L8P11,JUGI,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=EcWkhhMmiiA%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
LMS Capital PLC,GB00B12MHD28,LMS,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=qVPTz%2F9X0io%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Maven Income & Growth  VCT 3 PLC,GB0031153769,MIG3,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=JXp64S4fMXs%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Molten Ventures PLC,GB00BY7QYJ50,GROW,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=j%2B2tYm9dG4Q%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
NextEnergy Solar Fund Ltd,GG00BJ0JVY01,NESF,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=KV65fqg7MOo%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Octopus AIM VCT PLC,GB0034202076,OOA,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=3sj5GamUhus%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Oxford Technology 2 Venture Capital Trust PLC OT3,GB00BN73FN07,OT3,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=fE90v0tojso%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Pembroke VCT PLC B,GB00BQVC9S79,PEMB,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=1k%2B9%2F5J0lvg%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
ProVen Growth & Income VCT PLC,GB00B5B7YS03,PGOO,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=7hbggrrEnSo%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
RIT Capital Partners PLC,GB0007366395,RCP,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=r53QzjOQ5oM%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Schroder British Opportunities Trust PLC,GB00BN7JZR28,SBO,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=E6svdTXa%2FVc%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Scottish Mortgage Investment Trust PLC,GB00BLDYK618,SMT,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=GhxWMOxbwLY%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Sirius Real Estate Ltd,GG00B1W3VF54,SRE,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=6b8FNfiDr9Q%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Tetragon Financial Group Ltd,GG00B1RMC548,TFGS,,
Tufton Assets Ltd,GG00BSFVPB94,SHPP,,
Vietnam Enterprise Investments Ltd,,VEIL,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=nQdanwrJruY%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
