name,isin,url,keyword
7IM AAP Moderately Adventurous C Inc,GB00B2PB2K59,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=Fx%2FhE0YFlC0%3D&Isin=GB00B2PB2K59&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D1,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
ARC TIME Property Long Income & Growth PAIF A Acc GBP,GB00BMH7WH87,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=cyJdxFASsRk%3D&Isin=GB00BMH7WH87&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D7,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
AXA Lifetime Distribution Z Inc,GB00BYVDW653,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=XLSsVThXu4E%3D&Isin=GB00BYVDW653&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D11,Invest in this fund within a SIPP or Investment Account
Aegon Global Sustainable Equity C Acc GBP,IE00BYZJ3771,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=q%2BRIjq0Vf%2BE%3D&Isin=IE00BYZJ3771&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D5,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Allianz UK Listed Equity Income C Inc,GB00B82ZGC20,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=IQUsBuHIfCQ%3D&Isin=GB00B82ZGC20&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D6,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Ardtur European Focus Absolute Return I Inc GBP,IE00BZ1J0228,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=130%2FG2frHPo%3D&Isin=IE00BZ1J0228&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D7,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Artemis UK Special Situations I Inc,GB00BB36JR17,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=X6b4RRsJHBw%3D&Isin=GB00BB36JR17&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D8,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Aviva Inv Multi-asset Core III 2,GB00BMGWH460,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=o2pTFI57E4g%3D&Isin=GB00BMGWH460&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D9,Invest in this fund within a SIPP or Investment Account
BNY Mellon Emerging Income Inst W Inc,GB00B8HMC861,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=0XEQZ9U9b%2Fk%3D&Isin=GB00B8HMC861&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D19,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
BNY Mellon Inflation Linked Corporate Bond Institutional W Acc,GB00B8HY5051,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=lPn6tQwEaaM%3D&Isin=GB00B8HY5051&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D20,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
